county_id,county_short,county_display
ABN,Aberdeen,Aberdeenshire
AGL,Anglesey,Anglesey
ANG,Angus,Angus
ARG,Argyll,Argyllshire
AYS,Ayr,Ayrshire
BNF,Banff,Banffshire
BED,Bedford,Bedfordshire
BER,Berks,Berkshire
BRW,Berwick,Berwickshire
BRN,Brecknock,Brecknockshire
BUC,Buckingham,Buckinghamshire
BTE,Bute,Buteshire
CRN,Caernarfon,Caernarfonshire
CTN,Caithness,Caithness
CMB,Cambridge,Cambridgeshire
CRD,Cardigan,Cardiganshire
CRM,Carmarthen,Carmarthenshire
CHE,Chester,Cheshire
CLM,Clackmannan,Clackmannanshire
CNW,Cornwall,Cornwall
CRT,Cromarty,Cromartyshire
CUM,Cumberland,Cumberland
DBH,Denbigh,Denbighshire
DRB,Derby,Derbyshire
DVN,Devon,Devon
DRS,Dorset,Dorset
DMF,Dumfries,Dumfriesshire
DUN,Dunbarton,Dunbartonshire
DRH,Durham,Durham
ELT,E Lothian,East Lothian
ESE,Essex,Essex
FFE,Fife,Fife
FLT,Flint,Flintshire
GLM,Glamorgan,Glamorgan
GLC,Gloucester,Gloucestershire
HMP,Hants,Hampshire
HRF,Hereford,Herefordshire
HTF,Hertford,Hertfordshire
HNT,Huntingdon,Huntingdonshire
INS,Inverness,Inverness-shire
KNT,Kent,Kent
KNC,Kincardine,Kincardineshire
KNR,Kinross,Kinross-shire
KCB,Kirkcudbright,Kirkcudbrightshire
LNK,Lanark,Lanarkshire
LCS,Lancaster,Lancashire
LCR,Leicester,Leicestershire
LNC,Lincoln,Lincolnshire
MRN,Merioneth,Merionethshire
MSX,Middlesex,Middlesex
MLT,Midlothian,Midlothian
MNM,Monmouth,Monmouthshire
MTG,Montgomery,Montgomeryshire
MOY,Moray,Morayshire
NRN,Nairn,Nairnshire
NRF,Norfolk,Norfolk
NHP,Northampton,Northamptonshire
NHB,Northumberland,Northumberland
NOT,Nottingham,Nottinghamshire
ORN,Orkney,Orkney
OXD,Oxford,Oxfordshire
PBS,Peebles,Peeblesshire
PMB,Pembroke,Pembrokeshire
PRT,Perth,Perthshire
RDN,Radnor,Radnorshire
RNF,Renfrew,Renfrewshire
RSS,Ross,Ross-shire
RXB,Roxburgh,Roxburghshire
RTL,Rutland,Rutland
SKK,Selkirk,Selkirkshire
SHT,Shetland,Shetland
SHP,Salop,Shropshire
SMS,Somerset,Somerset
STF,Stafford,Staffordshire
STL,Stirling,Stirlingshire
SFF,Suffolk,Suffolk
SUR,Surrey,Surrey
SUS,Sussex,Sussex
SRL,Sutherland,Sutherland
WRW,Warwick,Warwickshire
WLT,W Lothian,West Lothian
WML,Westmorland,Westmorland
WGT,Wigtown,Wigtownshire
WTS,Wilts,Wiltshire
WRC,Worcester,Worcestershire
YRK,York,Yorkshire
